id,일자리,이윤(억),탄소,거주성,저렴한집(%),오픈(%),일자리점,이윤점,탄소점,거주성점,저렴한집점,구간합,RFP감점,RFP통과,RFP미달,지표합
S0001,1710,79.8,25.4,93,55.0,23.0,6,8,4,8,10,36,0,1,,36
S0002,2328,107.5,15.3,96,45.0,29.1,8,10,6,10,10,44,0,1,,44
S0003,1972,114.7,18.6,88,30.0,19.4,6,10,6,8,6,36,0,1,,36
S0004,1216,10.3,12.9,85,50.0,5.1,2,4,8,6,10,30,6,0,jobs|openSpace,24
S0005,1796,100.1,19.2,82,10.0,17.3,6,10,6,6,2,30,0,1,,30
S0006,1498,45.6,17.1,92,65.0,18.9,4,6,6,8,10,34,0,1,,34
S0007,2722,113.9,17.8,89,20.0,27.0,8,10,6,8,4,36,0,1,,36
S0008,2180,88.1,26.3,87,60.0,13.8,6,8,4,6,10,34,0,1,,34
S0009,2113,109.0,17.2,86,15.0,24.5,6,10,6,6,4,32,0,1,,32
S0010,1638,31.3,4.8,96,35.0,26.5,4,6,10,10,8,38,0,1,,38
S0011,1680,97.3,23.8,69,15.0,7.7,4,8,4,0,4,20,6,0,openSpace|livability,14
S0012,2036,94.3,19.9,88,35.0,19.9,6,8,6,8,8,36,0,1,,36
S0013,3408,126.8,30.4,68,5.0,11.2,10,10,2,0,0,22,6,0,affordable|livability,16
S0014,2952,136.1,33.5,74,0.0,17.3,10,10,2,2,0,24,3,0,affordable,21
S0015,2330,110.0,27.0,89,80.0,18.4,8,10,4,8,10,40,0,1,,40
S0016,2500,90.3,22.2,94,60.0,17.9,8,8,4,8,10,38,0,1,,38
S0017,1643,84.7,16.2,80,10.0,12.8,4,8,6,6,2,26,0,1,,26
S0018,1880,11.2,1.4,100,90.0,28.1,6,4,10,10,10,40,0,1,,40
S0019,1640,43.5,13.3,77,80.0,3.1,4,6,8,4,10,32,3,0,openSpace,29
S0020,2794,130.3,27.6,79,65.0,8.2,8,10,4,4,10,36,3,0,openSpace,33
S0021,1426,93.4,22.4,79,100.0,7.7,4,8,4,4,10,30,3,0,openSpace,27
S0022,1832,69.9,16.6,97,80.0,24.5,6,8,6,10,10,40,0,1,,40
S0023,1996,38.5,2.3,100,95.0,26.0,6,6,10,10,10,42,0,1,,42
S0024,2072,78.7,23.7,89,65.0,14.3,6,8,4,8,10,36,0,1,,36
S0025,2630,121.3,30.4,87,75.0,13.8,8,10,2,6,10,36,0,1,,36
S0026,2992,120.4,20.0,97,55.0,24.5,10,10,6,10,10,46,0,1,,46
S0027,2974,154.9,32.8,86,40.0,14.3,10,10,2,6,8,36,0,1,,36
S0028,2246,82.1,15.8,97,70.0,27.6,8,8,6,10,10,42,0,1,,42
S0029,1868,82.8,20.0,92,45.0,18.9,6,8,6,8,10,38,0,1,,38
S0030,1600,79.5,25.7,76,65.0,5.1,4,8,4,4,10,30,3,0,openSpace,27
