지표,구간,점수,설명
기본 점수,전체,50점,모든 도시의 기본 점수
녹지 공간 비율,3% 미만,-5점,녹지가 부족한 도시
녹지 공간 비율,3-5%,0점,최소 기준 달성
녹지 공간 비율,5-8%,+3점,적정 수준의 녹지
녹지 공간 비율,8-12%,+6점,양호한 녹지 비율
녹지 공간 비율,12% 이상,+10점,우수한 녹지 비율 (최대)
저렴한 주거 비율,10% 미만,-5점,저렴한 주거가 부족
저렴한 주거 비율,10-20%,0점,최소 기준 달성
저렴한 주거 비율,20-30%,+3점,적정 수준의 저렴한 주거
저렴한 주거 비율,30-40%,+6점,양호한 저렴한 주거 비율
저렴한 주거 비율,40% 이상,+10점,우수한 저렴한 주거 비율 (최대)
탄소 배출 지수,80 이상,-5점,매우 높은 탄소 배출 (낮을수록 좋음)
탄소 배출 지수,60-80,-2점,높은 탄소 배출
탄소 배출 지수,40-60,0점,보통 수준의 탄소 배출
탄소 배출 지수,25-40,+3점,낮은 탄소 배출
탄소 배출 지수,15-25,+6점,매우 낮은 탄소 배출
탄소 배출 지수,15 미만,+10점,우수한 탄소 배출 수준 (최대)
일자리 수,50개 미만,-5점,일자리가 매우 부족
일자리 수,50-100개,0점,최소 기준 달성
일자리 수,100-150개,+3점,적정 수준의 일자리
일자리 수,150-250개,+6점,양호한 일자리 수
일자리 수,250개 이상,+10점,우수한 일자리 수 (최대)
오픈 스페이스 비율,5% 미만,-3점,오픈 스페이스 부족
오픈 스페이스 비율,5-10%,0점,최소 기준 달성
오픈 스페이스 비율,10-15%,+3점,적정 수준의 오픈 스페이스
오픈 스페이스 비율,15-20%,+6점,양호한 오픈 스페이스 비율
오픈 스페이스 비율,20% 이상,+10점,우수한 오픈 스페이스 비율 (최대)

최종 점수 계산:
- 기본 점수(50점) + 각 지표별 구간 점수 합계
- 최종 점수는 0~100점 범위로 제한
- 최고 점수: 50(기본) + 10(녹지) + 10(저렴한 주거) + 10(탄소) + 10(일자리) + 10(오픈 스페이스) = 100점
- 최저 점수: 50(기본) - 5(녹지) - 5(저렴한 주거) - 5(탄소) - 5(일자리) - 3(오픈 스페이스) = 27점 → 0점으로 제한

점수 해석:
- 80점 이상: 매우 살기 좋은 도시
- 60-80점: 살기 좋은 도시
- 40-60점: 보통인 도시
- 40점 미만: 개선이 필요한 도시
